seq,submitted,processed,returned,result
396,2019-12-02 22:37:30.702000+00:00,2019-12-02 22:37:30.768000+00:00,2019-12-02 22:37:30.768000+00:00,NO_CHANGE
397,2019-12-02 22:37:30.768000+00:00,2019-12-02 22:37:30.835000+00:00,2019-12-02 22:37:30.835000+00:00,NO_CHANGE
399,2019-12-02 22:37:30.835000+00:00,2019-12-02 22:37:30.903000+00:00,2019-12-02 22:37:30.903000+00:00,NO_CHANGE
401,2019-12-02 22:37:30.903000+00:00,2019-12-02 22:37:30.974000+00:00,2019-12-02 22:37:30.974000+00:00,NO_CHANGE
402,2019-12-02 22:37:30.974000+00:00,2019-12-02 22:37:31.045000+00:00,2019-12-02 22:37:31.045000+00:00,NO_CHANGE
404,2019-12-02 22:37:31.045000+00:00,2019-12-02 22:37:31.111000+00:00,2019-12-02 22:37:31.111000+00:00,NO_CHANGE
405,2019-12-02 22:37:31.111000+00:00,2019-12-02 22:37:31.183000+00:00,2019-12-02 22:37:31.183000+00:00,NO_CHANGE
407,2019-12-02 22:37:31.184000+00:00,2019-12-02 22:37:31.251000+00:00,2019-12-02 22:37:31.251000+00:00,NO_CHANGE
409,2019-12-02 22:37:31.252000+00:00,2019-12-02 22:37:31.320000+00:00,2019-12-02 22:37:31.320000+00:00,NO_CHANGE
410,2019-12-02 22:37:31.320000+00:00,2019-12-02 22:37:31.392000+00:00,2019-12-02 22:37:31.392000+00:00,NO_CHANGE
412,2019-12-02 22:37:31.392000+00:00,2019-12-02 22:37:31.462000+00:00,2019-12-02 22:37:31.462000+00:00,NO_CHANGE
414,2019-12-02 22:37:31.462000+00:00,2019-12-02 22:37:31.529000+00:00,2019-12-02 22:37:31.530000+00:00,NO_CHANGE
416,2019-12-02 22:37:31.530000+00:00,2019-12-02 22:37:31.582000+00:00,2019-12-02 22:37:31.582000+00:00,JUNK_FRAME
417,2019-12-02 22:37:31.582000+00:00,2019-12-02 22:37:31.634000+00:00,2019-12-02 22:37:31.634000+00:00,JUNK_FRAME
418,2019-12-02 22:37:31.634000+00:00,2019-12-02 22:37:31.685000+00:00,2019-12-02 22:37:31.685000+00:00,JUNK_FRAME
419,2019-12-02 22:37:31.686000+00:00,2019-12-02 22:37:31.741000+00:00,2019-12-02 22:37:31.741000+00:00,JUNK_FRAME
421,2019-12-02 22:37:31.741000+00:00,2019-12-02 22:37:31.791000+00:00,2019-12-02 22:37:31.791000+00:00,JUNK_FRAME
422,2019-12-02 22:37:31.791000+00:00,2019-12-02 22:37:31.842000+00:00,2019-12-02 22:37:31.843000+00:00,JUNK_FRAME
